WORK_BREWERY;25.11.2024;KEG;PAL;KONEC;
BREWERY_PRODUCT;R;Rychtář Premium sv.lež. tank 1l;10HL;;;
BREWERY_PRODUCT;R;Klášter Premium sv.lež. tank 1l;10HL;;;
BREWERY_PRODUCT;R;Klášter 11 sv.lež. tank 1l;10HL;;;
BREWERY_PRODUCT;R;Horal BOCK sil.lež. pl.12/1l;130HL;21;14:39;
WORK_BREWERY;26.11.2024;KEG;PAL;KONEC;
BREWERY_PRODUCT;R;Rychtář Grunt sv.lež. keg 15l;67;6;06:53;
BREWERY_PRODUCT;R;Rychtář Grunt sv.lež. keg 30l;400;67;12:36;
BREWERY_PRODUCT;R;Klášter 11 sv.lež. keg 30l;67;12;13:33;
BREWERY_PRODUCT;R;Klášter 11 sv.lež. keg 50l;100;17;15:13;
BREWERY_PRODUCT;O;Rychtář Grunt sv.lež. keg 50l;380;64;21:33;
WORK_BREWERY;27.11.2024;KEG;PAL;KONEC;
BREWERY_PRODUCT;R;Rychtář Fojt sv.výč. keg 30l;50;9;06:42;
BREWERY_PRODUCT;R;Rychtář Fojt sv.výč. keg 50l;120;20;08:42;
BREWERY_PRODUCT;R;Klášter 10 sv.výč. keg 50l;50;9;09:32;
BREWERY_PRODUCT;R;Rychtář Premium sv.lež. keg 30l;50;9;10:15;
BREWERY_PRODUCT;R;Rychtář Premium sv.lež. keg 50l;80;14;11:35;
BREWERY_PRODUCT;R;Klášter Premium sv.lež. keg 30l;33;6;12:04;
BREWERY_PRODUCT;R;Klášter Premium sv.lež. keg 50l;30;5;12:34;
WORK_BREWERY;18.11.2024;KEG;PAL;KONEC;
BREWERY_PRODUCT;R;Rychtář Premium sv.lež. tank 1l;10HL;;;
BREWERY_PRODUCT;R;Klášter Premium sv.lež. tank 1l;10HL;;;
BREWERY_PRODUCT;R;Rychtář Grunt sv.lež. keg 30l;300;50;10:17;
BREWERY_PRODUCT;R;Klášter 11 sv.lež. keg 30l;150;25;12:25;
BREWERY_PRODUCT;R;Klášter 11 sv.lež. keg 50l;180;30;15:25;
BREWERY_PRODUCT;O;Rychtář Grunt sv.lež. keg 50l;350;59;21:15;
WORK_BREWERY;19.11.2024;KEG;PAL;KONEC;
BREWERY_PRODUCT;R;Rychtář Grunt sv.lež. keg 15l;67;6;06:53;
BREWERY_PRODUCT;R;Rychtář Grunt sv.lež. keg 30l;200;34;09:45;
BREWERY_PRODUCT;R;Rychtář Grunt sv.lež. keg 50l;260;44;14:05;
BREWERY_PRODUCT;O;Rychtář Premium sv.lež. keg 15l;33;3;14:31;
BREWERY_PRODUCT;O;Rychtář Premium sv.lež. keg 30l;83;14;15:42;
BREWERY_PRODUCT;O;Rychtář Premium sv.lež. keg 50l;180;30;18:42;
BREWERY_PRODUCT;O;Rychtář Natur kv. sv.lež. keg 30l;67;12;19:40;
